question,answer,context,reference,document
Quem é o responsável pela Portaria nº 23/2024 - DRG/BTV/IFSP de 12 de março de 2024?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, RESOLVE:","Portaria nº 3.903, de 4 de novembro de 2015, Art 1º",boituva_portarias
"Quem é o responsável pela Portaria nº 3.903, de 04 de novembro de 2015?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.","Portaria nº 3.903, de 04 de novembro de 2015, Título: Portaria nº 3.903, de 04 de novembro de 2015",boituva_portarias
"Quem é o responsável pela Portaria nº 3.790, de 23 de novembro de 2018?",O Ministério da Educação,"MINISTÉRIO DA EDUCAÇÃO. INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO.","Portaria nº 3.790, de 23 de novembro de 2018, Título: Portaria nº 3.790, de 23 de novembro de 2018",boituva_portarias
Quem conferiu atribuições legais ao Diretor-Geral do Campus Boituva do IFSP?,"Portaria nº 3.903, de 4 de novembro de 2015","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015...","Portaria nº 3.903, de 4 de novembro de 2015, Art. 1º",boituva_portarias
Quem é o responsável pela Portaria nº 21/2024 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva, do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE:","Portaria nº 3.903, de 04 de novembro de 2015, Portaria nº 21/2024 - DRG/BTV/IFSP",boituva_portarias
Quem delegou atribuições ao Diretor Geral do Campus Boituva do IFSP?,O Ministério da Educação,"no uso de suas atribuições delegadas pela Portaria nº 3.790, de 23 de novembro de 2018","Portaria nº 3.790, de 23 de novembro de 2018, Art 1º",boituva_portarias
Quem é o responsável pela Portaria nº 24/2024 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, considerando o que consta no Processo n° 23431.001078.2022-91, RESOLVE:","Portaria nº 3.903, de 4 de novembro de 2015, Art 1º",boituva_portarias
Quem é o responsável pela Portaria nº 25/2024 - DRG/BTV/IFSP?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo, Felipe Augusto Ferreira de Almeida.","O DIRETOR-GERAL DO CAMPUS BOITUVA DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais, conferidas pela Portaria nº 3.903, de 4 de novembro de 2015, RESOLVE:","Portaria nº 3.903, de 4 de novembro de 2015, Art 1º",boituva_portarias
Quem é o responsável pela criação da Comissão de Elaboração e Implementação do PPC de Administração Integrado ao Ensino Médio do Campus Boituva?,"O Diretor-Geral do Campus Boituva do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo.","PORTARIA Nº 26/2024 - DRG/BTV/IFSP DE 21 DE MARÇO DE 2024 O DIRETOR-GERAL DO CAMPUS BOITUVA, DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO, no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015 e conforme a Portaria 2582 de 17 de julho de 2020, RESOLVE: Art 1.º - DESIGNAR, os servidores abaixo relacionados para, sob a presidência do primeiro, compor a Comissão de Elaboração e Implementação do PPC de Administração Integrado ao Ensino Médio do Campus Boituva.","Portaria nº 3.903, de 04 de novembro de 2015, Portaria 2582 de 17 de julho de 2020, Portaria nº 26/2024 - DRG/BTV/IFSP de 21 de março de 2024",boituva_portarias
Quem delegou as atribuições legais ao Diretor Geral do Campus Boituva do IFSP?,"A Portaria nº 3.903, de 04 de novembro de 2015","no uso de suas atribuições legais delegadas pela Portaria nº 3.903, de 04 de novembro de 2015","Portaria nº 3.903, de 04 de novembro de 2015, Art. 1º",boituva_portarias
