question,answer,context,reference
O que é o IFSP?,"O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino.","Art 1º - O INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO – IFSP, com sede e foro na cidade de São Paulo, criado nos termos da Lei nº. 11.892, de 29 de dezembro de 2008, constitui-se em autarquia federal, vinculada ao Ministério da Educação, detentora de autonomia administrativa, patrimonial, financeira, didático-pedagógica e disciplinar. §2º- O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino, com base na conjugação de conhecimentos técnicos e tecnológicos com a sua prática pedagógica, nos termos da lei.","Estatuto, Título I, Capítulo I, Art 1º"
Qual é o limite de atuação territorial do IFSP?,O limite de atuação territorial do IFSP é circunscrito ao Estado de São Paulo.,"§ 4º- O IFSP possui limite de atuação territorial para criar e extinguir cursos, bem como para registrar diplomas dos cursos por ele oferecidos, circunscrito ao Estado de São Paulo, aplicando-se, no caso de oferta de ensino a distância, legislação específica.","Estatuto, Título I, Capítulo I, Art 1º"
Quais são os instrumentos normativos que regem o IFSP?,"Os instrumentos normativos que regem o IFSP são o Estatuto, o Regimento-Geral, o Regimento dos campi e os Atos Administrativos do IFSP.","Art 2º - O IFSP rege-se pelos atos normativos mencionados no caput do Art 1º -, pela legislação federal e pelos seguintes instrumentos normativos: I - Estatuto. II - Regimento-Geral. III - Regimento dos campi. IV - Atos Administrativos do IFSP.","Estatuto, Título I, Capítulo I, Art 2º"
O que é a Reitoria do IFSP?,"A Reitoria do IFSP é a sede do IFSP, situada na Rua Pedro Vicente, 625, Canindé, São Paulo.","§1º- O IFSP é domiciliado na sede de sua Reitoria, situada na Rua Pedro Vicente, 625, Canindé, São Paulo.","Estatuto, Título I, Capítulo I, Art 1º"
Quantos campi o IFSP tem?,O IFSP tem 31 campi.,"Tem como sedes, para os fins da legislação educacional: I - Reitoria, no endereço citado no §1º. II - Campus São Paulo, situado na Rua Pedro Vicente, 625, Canindé, São Paulo. ... XXXI - Núcleo Avançado de Assis, situado na Avenida Getúlio Vargas nº 1200, Vila Nova Santana, Assis.","Estatuto, Título I, Capítulo I, Art 1º"
Quais são os princípios norteadores do IFSP?,"Os princípios norteadores do IFSP são o compromisso com a justiça social, a equidade, a cidadania, a ética, a preservação do meio ambiente, a transparência e a gestão democrática.","Art 4º - O IFSP, em sua atuação, observa os seguintes princípios norteadores: I - compromisso com a justiça social, a equidade, a cidadania, a ética, a preservação do meio ambiente, a transparência e a gestão democrática;","Estatuto, Título I, Capítulo II, Art 4º"
Quais são as finalidades do IFSP?,"As finalidades do IFSP são ofertar educação profissional e tecnológica, desenvolver a educação profissional e tecnológica como processo educativo e investigativo, promover a integração e a verticalização da educação básica à educação profissional e educação superior, entre outras.","Art 5º - O IFSP tem as seguintes finalidades e características: I - ofertar educação profissional e tecnológica, em todos os seus níveis e modalidades, formando e qualificando cidadãos com vistas à atuação profissional nos diversos setores da economia, com ênfase no desenvolvimento socioeconômico local, regional e nacional;","Estatuto, Título I, Capítulo II, Art 5º"
Quais são os objetivos do IFSP?,"Os objetivos do IFSP são ministrar educação profissional técnica de nível médio, ministrar cursos de formação inicial e continuada de trabalhadores, realizar pesquisas, desenvolver atividades de extensão, entre outros.","Art 6º - O IFSP tem os seguintes objetivos: I - ministrar educação profissional técnica de nível médio, prioritariamente na forma de cursos integrados, para os concluintes do ensino fundamental e para o público da Educação de Jovens e Adultos;","Estatuto, Título I, Capítulo II, Art 6º"
Quais são as características do IFSP?,"As características do IFSP são a oferta de educação profissional e tecnológica, a integração e a verticalização da educação básica à educação profissional e educação superior, a promoção da produção, desenvolvimento e difusão de conhecimentos científicos e tecnológicos, entre outras.",Art 5º - O IFSP tem as seguintes finalidades e características: II - desenvolver a educação profissional e tecnológica como processo educativo e investigativo de geração e adaptação de soluções técnicas e tecnológicas às demandas sociais e peculiaridades regionais;,"Estatuto, Título I, Capítulo II, Art 5º"
Quais são as áreas de atuação do IFSP?,"As áreas de atuação do IFSP são a educação profissional e tecnológica, a educação superior, a pesquisa, a extensão, a produção, desenvolvimento e difusão de conhecimentos científicos e tecnológicos, entre outras.","Art 6º - O IFSP tem os seguintes objetivos: III - realizar pesquisas, estimulando o desenvolvimento de soluções técnicas e tecnológicas, estendendo seus benefícios à comunidade;","Estatuto, Título I, Capítulo II, Art 6º"
