question,answer,context,reference
O que é o IFSP?,"O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino.","Art 1º - O INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO (IFSP), constituído mediante transformação do Centro Federal de Educação Tecnológica de São Paulo, nos termos da Lei nº. 11.892, de 29 de dezembro de 2008, possui natureza jurídica de autarquia, vinculada ao Ministério da Educação (MEC), detentora de autonomia administrativa, patrimonial, financeira, didático-pedagógica e disciplinar, conforme disposto em seu Estatuto e o no Plano de Desenvolvimento Institucional (PDI). § 1º. O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino, com base na conjugação de conhecimentos técnicos, tecnológicos, humanidades e linguagens.","Organização Didática da Educação Básica, Título I, Capítulo I, Art 1º"
Qual é a finalidade do IFSP?,"A finalidade do IFSP é ofertar educação profissional e tecnológica, em todos os seus níveis e modalidades, formando e qualificando o estudante de forma ética, responsável, autônoma e criativa.","§ 3º. O IFSP tem por finalidade ofertar educação profissional e tecnológica, em todos os seus níveis e modalidades, formando e qualificando o estudante de forma ética, responsável, autônoma e criativa para que, no exercício de sua cidadania, corresponda aos novos desafios socioambientais, pessoais e profissionais, para atuação nos diversos setores da economia, com ênfase no desenvolvimento socioeconômico local, regional e nacional, preparando-o para desafios políticos e culturais.","Organização Didática da Educação Básica, Título I, Capítulo I, Art 1º"
Como o IFSP se organiza?,"O IFSP se organiza com base na conjugação de conhecimentos técnicos, tecnológicos, humanidades e linguagens, e desenvolve o ensino, a pesquisa e a extensão como atividades indissociáveis.","§ 1º. O IFSP é uma instituição de educação superior, básica e profissional, pluricurricular e multicampi, especializada na oferta de educação profissional e tecnológica nas diferentes modalidades de ensino, com base na conjugação de conhecimentos técnicos, tecnológicos, humanidades e linguagens. Art 2º - O IFSP desenvolverá o ensino, a pesquisa e a extensão como atividades indissociáveis, articuladoras da formação acadêmico-profissional com a educação integrada e propulsoras de relações sociais mais aproximadas e justas, adotando uma política que materialize ações pautadas na visão da totalidade do conhecimento, contribuindo para o desenvolvimento local, regional e nacional por meio da (re)construção e da ressignificação de conhecimentos científicos e tecnológicos.","Organização Didática da Educação Básica, Título I, Capítulo I, Art 1º e 2º"
Quais são as bases legais que regem a Organização Didática da Educação Básica no IFSP?,"A Lei de Diretrizes e Bases da Educação Nacional nº. 9.394, de 20 de dezembro de 1996 (LDB), suas regulamentações, Pareceres, as Diretrizes Curriculares Nacionais e o PDI.","Art 3º - Esta Organização Didática, em consonância com a Lei de Diretrizes e Bases da Educação Nacional nº. 9.394, de 20 de dezembro de 1996 (LDB), suas regulamentações, Pareceres, as Diretrizes Curriculares Nacionais e o PDI, regerá os procedimentos didático-pedagógicos de todos os câmpus do IFSP.","Organização Didática da Educação Básica, TÍTULO I DAS DIRETRIZES GERAIS, CAPÍTULO II DA ORGANIZAÇÃO DIDÁTICA, Art 3º"
Como os cursos do IFSP são organizados?,"Os cursos do IFSP são organizados em séries anuais, períodos semestrais, ciclos, alternância regular de períodos de estudos, grupos não seriados, com base na idade, na competência e em outros critérios, ou por forma diversa de organização.","Art 25 - Os Cursos do IFSP são organizados em séries anuais, períodos semestrais, ciclos, alternância regular de períodos de estudos, grupos não seriados, com base na idade, na competência e em outros critérios, ou por forma diversa de organização, sempre que o interesse do processo de aprendizagem assim o recomendar, de acordo com previsão no projeto pedagógico de curso (PPC).","Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 25"
Como é definida a carga horária dos cursos do IFSP?,A carga horária dos cursos é definida pelo Projeto Pedagógico de Curso em consonância com a legislação vigente.,§ 1º. A carga horária dos cursos é definida pelo Projeto Pedagógico de Curso em consonância com a legislação vigente.,"Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 25, § 1º"
Quais são as condições para um estudante ter direito ao diploma de conclusão do curso?,O estudante somente terá direito ao diploma de conclusão do curso após a integralização de todas as atividades previstas como obrigatórias no PPC do curso.,§ 3º. O estudante somente terá direito ao diploma de conclusão do curso após a integralização de todas as atividades previstas como obrigatórias no PPC do curso.,"Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 25, § 3º"
É possível obter certificações intermediárias em um curso do IFSP?,"Sim, o estudante terá direito às certificações intermediárias, quando estas estiverem previstas no PPC do curso.","§ 4º. O estudante terá direito às certificações intermediárias, quando estas estiverem previstas no PPC do curso.","Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO III DO REGIME ACADÊMICO, Art 25, § 4º"
Quais são os turnos em que o IFSP pode oferecer cursos?,"Matutino, vespertino, noturno e integral.","Art 26 - O IFSP poderá oferecer cursos nos turnos matutino, vespertino, noturno e integral.","Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO IV DA JORNADA ACADÊMICA, Art 26"
Quais são as durações possíveis de uma hora-aula no IFSP?,"45, 50 ou 60 minutos.","§ 1º. A duração da hora-aula poderá ser de 45, 50 ou 60 minutos a ser adotada pelo câmpus, de acordo com as conveniências de ordem metodológica ou pedagógica.","Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO IV DA JORNADA ACADÊMICA, Art 26"
Qual é o limite de horas-aula presencial por dia para os cursos oferecidos em regime integral?,"No máximo, 10 (dez) horas-aula presencial por dia.","§ 3º. Para os cursos oferecidos em regime integral, ficará estabelecido o limite de, no máximo, 10 (dez) horas-aula presencial por dia.","Organização Didática da Educação Básica, TÍTULO II DA ORGANIZAÇÃO CURRICULAR E ACADÊMICA, CAPÍTULO IV DA JORNADA ACADÊMICA, Art 26"
Quais são as estratégias de acompanhamento da frequência e do desempenho acadêmico dos estudantes no IFSP?,"As estratégias de acompanhamento da frequência e do desempenho acadêmico dos estudantes no IFSP incluem ações de intervenção que visam garantir o direito à aprendizagem, a permanência e a conclusão dos estudos, como práticas curriculares, formação continuada para servidores, práticas curriculares inclusivas, acompanhamento pedagógico e registro de todas as ações de intervenção desenvolvidas.","Art 106 - Deverão ser previstas estratégias de acompanhamento da frequência e do desempenho acadêmico dos estudantes de todos os cursos do IFSP, com o objetivo de desenvolver ações de intervenção que lhes garantam o direito à aprendizagem, a permanência e a conclusão dos estudos.","Organização Didática da Educação Básica, Título VIII, Capítulo I, Art 106"
Quais são os espaços privilegiados para o desenvolvimento de ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes no IFSP?,"Os espaços privilegiados para o desenvolvimento de ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes no IFSP são reuniões pedagógicas, reuniões de Conselho de Classe, reuniões entre Diretoria Adjunta Educacional e Coordenadores de Cursos, reuniões da Coordenadoria Sociopedagógica e comunidade escolar, e reuniões com a Comissão de Elaboração e Implementação dos PPC – CEIC.","Art 107 - Constituem espaços privilegiados para o desenvolvimento de ações de acompanhamento da frequência e do desempenho acadêmico dos estudantes: I - reuniões pedagógicas; II - reuniões de Conselho de Classe, III - reuniões entre Diretoria Adjunta Educacional ou equivalente e Coordenadores de Cursos; IV - reuniões da Coordenadoria Sociopedagógica, ou setor equivalente, e comunidade escolar; V - reuniões com a Comissão de Elaboração e Implementação dos PPC – CEIC.","Organização Didática da Educação Básica, Título VIII, Capítulo I, Art 107"
Quais são os apoios necessários para os estudantes com necessidades educacionais específicas no IFSP?,Os estudantes com necessidades educacionais específicas no IFSP podem requerer ao Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) a provisão dos apoios necessários para o desenvolvimento das atividades de ensino e aprendizagem.,"Art 108 - Os estudantes com necessidades educacionais específicas, nos termos do Decreto nº 3.298/99 e da Lei nº 7.853/89, poderão requerer ao Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas (NAPNE) a provisão dos apoios necessários para o desenvolvimento das atividades de ensino e aprendizagem.","Organização Didática da Educação Básica, Título VIII, Capítulo I, Art 108"
Quem é responsável pela regulação e avaliação dos cursos do IFSP?,"A Pró-Reitoria de Ensino, por meio da Diretoria de Educação Básica, em articulação com o Conselho de Ensino (Conen) e com as Comissões de elaboração e implementação de cursos da educação básica (CEIC).","Art 110 - A regulação e a avaliação dos cursos do IFSP, observados os dispositivos legais vigentes e a regulamentação interna, serão de competência da Pró-Reitoria de Ensino, por meio da Diretoria de Educação Básica, em articulação com o Conselho de Ensino (Conen) e com as Comissões de elaboração e implementação de cursos da educação básica (CEIC), os quais analisam os documentos apresentados pelo câmpus, com anuência do Conselho de Campus (Concam).","Documento: Organização Didática da Educação Básica, Título: TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, Capítulo: CAPÍTULO II DOS PROCESSOS REGULATÓRIOS E AVALIATIVOS DAS OFERTAS DE EDUCAÇÃO BÁSICA, Art 110"
Por que o IFSP regula e avalia as ofertas educacionais?,"Para garantir a expansão da oferta educacional pública, gratuita e de qualidade.","Art 109 - O desenvolvimento das ofertas educacionais do IFSP deverá ser objeto de regulação e avaliação, como uma das formas de garantir a expansão da oferta educacional pública, gratuita e de qualidade.","Documento: Organização Didática da Educação Básica, Título: TÍTULO VIII DO DESENVOLVIMENTO DO ENSINO, Capítulo: CAPÍTULO II DOS PROCESSOS REGULATÓRIOS E AVALIATIVOS DAS OFERTAS DE EDUCAÇÃO BÁSICA, Art 109"
Quais são os documentos necessários para requerer aproveitamento de estudos no IFSP?,"Requerimento de aproveitamento de estudos, histórico escolar, estrutura curricular, programas, ementas e conteúdos programáticos dos componentes curriculares cursados com aproveitamento.","Art 127 - Para requerer aproveitamento de estudos, o estudante deverá protocolar requerimento para cada um dos componentes curriculares, na Coordenadoria de Registros Acadêmicos ou equivalente, endereçado ao Coordenador de Curso, acompanhado dos seguintes documentos: I - requerimento de aproveitamento de estudos; II - histórico escolar, contendo o nome do curso e dos componentes curriculares, com especificação do período, frequência, carga horária e notas; III - estrutura curricular; IV - programas, ementas e conteúdos programáticos dos componentes curriculares cursados com aproveitamento na escola de origem ou no IFSP que sejam equivalentes à disciplina pleiteada.","Organização Didática da Educação Básica, Título VIII, Capítulo IV, Art 127"
Quem é responsável por analisar o pedido de aproveitamento de estudos no IFSP?,"A Comissão Verificadora de Aproveitamento de Estudos, composta pelos docentes dos componentes curriculares que tiveram solicitação de aproveitamento, designada pelo Coordenador de Curso.","Art 126 - O aproveitamento de estudos poderá ser concedido pela Coordenadoria do Curso, mediante a análise da Comissão Verificadora de Aproveitamento de Estudos, composta pelos docentes dos componentes curriculares que tiveram solicitação de aproveitamento, designada pelo Coordenador de Curso.","Organização Didática da Educação Básica, Título VIII, Capítulo IV, Art 126"
