question,answer,context,reference
Quais são as bases legais que embasam a Organização Didática dos Cursos de Graduação do IFSP?,"A Lei de Diretrizes e Bases da Educação Nacional nº. 9.394, de 20 de dezembro de 1996 (LDB), suas regulamentações, Pareceres, as Diretrizes Curriculares Nacionais e o PDI.","Art 5 - Esta Organização Didática, está em consonância com a Lei de Diretrizes e Bases da Educação Nacional nº. 9.394, de 20 de dezembro de 1996 (LDB), suas regulamentações, Pareceres, as Diretrizes Curriculares Nacionais e o PDI, regerá os procedimentos didático-pedagógicos de todos os câmpus do IFSP.","Organização Didática dos Cursos de Graduação, TÍTULO I DAS DIRETRIZES GERAIS, CAPÍTULO II DA ORGANIZAÇÃO DIDÁTICA, Art 5"
Quem é responsável pelo registro das informações acadêmicas dos estudantes no IFSP?,A Coordenadoria de Registros Acadêmicos ou equivalente é responsável pelo registro das informações acadêmicas dos estudantes no IFSP.,"Art 48 - Para os estudantes com matrícula ativa, o registro das informações acadêmicas, assim como a guarda da respectiva documentação, quando necessária, será de responsabilidade da Coordenadoria de Registros Acadêmicos ou equivalente à qual cada estudante esteja vinculado.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo I, Art 48"
Quais informações acadêmicas são registradas pela Coordenadoria de Registros Acadêmicos no IFSP?,"As informações acadêmicas registradas pela Coordenadoria de Registros Acadêmicos incluem forma de ingresso, informações socioeconômicas, matrícula e renovação de matrícula, registro de histórico acadêmico e boletim acadêmico, entre outras.","Art 48 - Para os estudantes com matrícula ativa, o registro das informações acadêmicas, assim como a guarda da respectiva documentação, quando necessária, será de responsabilidade da Coordenadoria de Registros Acadêmicos ou equivalente à qual cada estudante esteja vinculado. Parágrafo único. As informações acadêmicas citadas no caput deste artigo são: I - forma de ingresso (tipo de processo seletivo, classificação, tipo de vaga ocupada, entre outras informações); II - informações socioeconômicas; III - matrícula e renovação de matrícula; IV - registro de histórico acadêmico e boletim acadêmico; ...","Organização Didática dos Cursos de Graduação, Título IV, Capítulo I, Art 48"
Quem é responsável pelo registro dos dados referentes aos componentes curriculares no sistema acadêmico do IFSP?,"O professor é responsável pelo registro dos dados referentes aos componentes curriculares no sistema acadêmico do IFSP, por meio do diário de classe.","Art 49 - O registro, no sistema acadêmico, dos dados referentes aos componentes curriculares (frequência e rendimento dos estudantes, bem como dos conteúdos ministrados e das atividades desenvolvidas em cada aula) deverá ser feito pelo professor no diário de classe, de acordo com as determinações do IFSP.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo I, Art 49"
Qual é o papel do Coordenador de Curso no registro dos conteúdos ministrados e das atividades desenvolvidas nos diários de classe?,O Coordenador de Curso é responsável por realizar o acompanhamento do registro dos conteúdos ministrados e das atividades desenvolvidas pelos docentes nos diários de classe.,"Art 50 - O Coordenador de Curso deverá, periodicamente, realizar o acompanhamento do registro dos conteúdos ministrados e das atividades desenvolvidas pelos docentes, nos diários de classe.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo I, Art 50"
Para que fins os diários de classe devem ser impressos e assinados pelo professor e coordenador de curso?,Os diários de classe devem ser impressos e assinados pelo professor e coordenador de curso para fins de reconhecimento de cursos e registro dos conteúdos e aulas ministrados.,"Art 51 - Para fins de reconhecimento de cursos e registro dos conteúdos e aulas ministrados, os diários de classe deverão ser impressos e assinados pelo respectivo professor e coordenador de curso, para guarda conforme definido em política de arquivamento do IFSP.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo I, Art 51"
Como um estudante do IFSP posso solicitar transferência de turno?,"A transferência de turno pode ser solicitada pelo estudante ou seu representante legal, quando menor de 18 anos, junto à Coordenadoria de Registros Acadêmicos ou equivalente, acompanhada de documentos que justifiquem a solicitação, se for o caso.","Art 76 - A transferência de turno poderá ocorrer mediante solicitação do próprio estudante, ou por seu representante legal, quando menor de 18 (dezoito) anos, junto à Coordenadoria de Registros Acadêmicos ou equivalente, acompanhada de documentos que justifiquem sua solicitação, se for o caso.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo III, Seção I, Art 76"
Quais são os critérios para priorizar pedidos de transferência de turno?,"Os critérios para priorizar pedidos de transferência de turno são: incorporação ao Serviço Militar Obrigatório, incompatibilidade entre o horário das aulas e o horário de trabalho ou estágio, dificuldade de frequentar as aulas no período em que esteja matriculado, por problema de saúde devidamente atestado, e mudança de domicílio que dificulte a frequência no turno em que está matriculado.","§ 2º. No caso de haver mais pedidos do que vagas disponíveis, deverá ser seguida a ordem dos incisos abaixo: I - incorporação ao Serviço Militar Obrigatório; II – incompatibilidade entre o horário das aulas e o horário de trabalho ou estágio; III – dificuldade de frequentar as aulas no período em que esteja matriculado, por problema de saúde devidamente atestado; IV – mudança de domicílio que dificulte a frequência no turno em que está matriculado.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo III, Seção I, Art 76, § 2º"
Como posso solicitar transferência do IFSP para outra instituição?,"A transferência do IFSP para outra instituição pode ser solicitada pelo estudante ou seu representante legal, quando menor de 18 anos, na Coordenadoria de Registros Acadêmicos ou equivalente do câmpus.","Art 78 - O pedido de transferência deverá ser realizado, pelo estudante ou por seu representante legal, quando menor de 18 (dezoito), na Coordenadoria de Registros Acadêmicos ou equivalente do câmpus.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo III, Seção II, Art 78"
Quais são os documentos necessários para solicitar transferência do IFSP para outra instituição?,"Para solicitar transferência do IFSP para outra instituição, é necessário apresentar termo de quitação de compromissos (nada consta) com a Biblioteca.","Parágrafo Único. Para a concessão de transferência, o estudante deverá apresentar termo de quitação de compromissos (nada consta) com a Biblioteca.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo III, Seção II, Art 78, Parágrafo Único"
Quanto tempo leva para expedir a guia de transferência?,"A expedição da guia de transferência deve ocorrer no prazo máximo de 20 (vinte) dias úteis, contados da data do pedido.","Art 79 - A expedição da guia de transferência deverá ocorrer no prazo máximo de 20 (vinte) dias úteis, contados da data do pedido, caso solicitado.","Organização Didática dos Cursos de Graduação, Título IV, Capítulo III, Seção II, Art 79"
O que é mobilidade de estudantes no IFSP?,A mobilidade de estudantes no IFSP é a possibilidade de realizar intercâmbio de estudantes do IFSP para outras instituições de ensino ou de estudantes de outras instituições de ensino para o IFSP.,Art 80 - A mobilidade de estudantes poderá ser realizada por meio de: I - intercâmbio de estudantes do IFSP para outras instituições de ensino; II - intercâmbio de estudantes de outras instituições de ensino para o IFSP.,"Organização Didática dos Cursos de Graduação, Título IV, Capítulo IV, Art 80"
