file_path,num_pages
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/ppp/Resolucao 06-2016 Aprova PPP.pdf,104
/content/ia024-projeto-rag/0-downloaded-files/3-capivari/ppp/Atualizacao Projeto Politico Pedagogico_PPP Campus Capivari_2021 Aprovado pelo Concam.pdf,142
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/09 - Setembro/Set_Port_4941_Subcomissão Relatório de Gestão 2014_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/09 - Setembro/Set_Port_4690_Comissão PPC de logística_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/09 - Setembro/Set_Port_5192_Revoga a portaria 4250 da comissão da estatuinte _BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/09 - Setembro/Set_Port_4921_Comissão PPP_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/09 - Setembro/Set_Port_4691_Comissão PPC de gestão da produção industrial_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0020_Substituição do período de férias CDI_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0021_Substituição na Subcomissão Relatório de Gestão 2014_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0025_Revoga a portaria 2059 que designa membros eleitos conforme código eleitoral.pdf,1
"/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0026_Revoga a portaria 1025 que designa o Comitê de Ensino, Pesquisa e Inovação e Extensão (CEPIE).pdf",1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0024_Fiscal de contrato de locação maquina fotocopiadora_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0028_Nomear Coordenador de Curso Gestão_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0022_Fiscal de contrato limpeza e manutenção_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0029_Designar Banca Examinadora Professor Fisica_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0027_Substituição do período de férias DRG_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/12 - Dezembro/Dez_Port_0023_Fiscal de contrato jardinagem_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0011_PPC Integrado Automação_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0018_Aprovação das Normas para Controle de Patrimônio e Manut. Predial Campus_BTV.pdf,12
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0009_CAAD Gestão_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0007_CAAD Indústria_BTV.pdf,1
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0017_Aprovação das Normas de Segurança Patrimonial e  Acesso ao Campus_BTV.pdf,5
/content/ia024-projeto-rag/0-downloaded-files/2-boituva/portarias/2014/11 - Novembro/Nov_Port_0012_PPC PROEJA FIC Inclusão Digital_BTV.pdf,1
